Radars;Date;pdssr;pdpsr;pda;pdc;iva;ivc;fc;ft;mt;rng;azim;stat
EBBL;16/10/2020 00:00;;15,23;;;;;;;;6,8;-0,02;geen SSR data
EBBL;17/10/2020 00:00;;11,35;;;;;;;;9,1;-0,03;geen SSR data
EBBL;18/10/2020 00:00;;15,56;;;;;;;;12,7;-0,03;geen SSR data
GEEK;16/10/2020 00:00;95,42;80,41;98,93;99,62;0;0,01;0,02;0;0,05;-12,4;0,02;
GEEK;17/10/2020 00:00;96,4;72,39;98,74;96,79;0;0;0;0;0,37;3,2;0,01;
GEEK;18/10/2020 00:00;96,74;73,28;98,89;98,69;0,03;0;0,03;0;0,18;6,7;0,01;
GEMB;16/10/2020 00:00;95,24;85,02;98,02;98,49;0,72;0,44;1,05;0,03;1,11;83,1;0,15;
GEMB;17/10/2020 00:00;94,47;82,42;98,03;98,43;0,67;0,44;1,03;0,01;2,07;59,6;0,16;
GEMB;18/10/2020 00:00;95,1;82,43;98,46;98,76;0,63;0,38;0,94;0,04;1,3;64;0,14;
EBFS;16/10/2020 00:00;88,96;79,63;99,89;99,66;0;0;0;0;0,03;-3;0;
EBFS;17/10/2020 00:00;88,45;72,32;99,88;99,6;0;0;0;0;0,01;-8,1;-0,01;
EBFS;18/10/2020 00:00;90,75;78,29;99,89;99,53;0;0;0,01;0;0;5,7;0;
EBFS;;;;;;;;;;;;;
EBSH;16/10/2020 00:00;;;;;;;;;;;;geen data
EBSH;17/10/2020 00:00;89,63;73,72;99,75;98,85;0;0,01;0,01;0;0,01;-35,5;0,07;
EBSH;18/10/2020 00:00;92,63;81,39;99,66;99,46;0;0,01;0,01;0;0,01;-27,2;0,06;
LARCE;16/10/2020 00:00;;32,03;;;;;;;;-11,9;-0,03;
LARCE;17/10/2020 00:00;;27,66;;;;;;;;-12,8;-0,02;
LARCE;18/10/2020 00:00;;34,72;;;;;;;;-19,1;-0,03;
S723E;19/10/2020 00:00;93,73;80,86;99,84;99,88;0,02;0,01;0,02;0;0,13;9;-0,04;
EBBE;19/10/2020 00:00;66,08;53,97;94,84;93,87;0,08;0,11;0,16;0,04;0,58;143,6;-0,18;
EBBL;19/10/2020 00:00;;14,6;;;;;;;;9,7;-0,04;geen SSR data
GEEK;19/10/2020 00:00;94,97;70,28;98,74;99;0;0;0;0;0,36;52,4;0;
GEMB;19/10/2020 00:00;;;;;;;;;;;;geen data
EBFS;19/10/2020 00:00;87,93;71,29;99,91;99,74;0;0;0;0;0;-1,4;-0,01;
EBSH;19/10/2020 00:00;92,09;75,38;99,78;99,5;0;0,01;0,01;0;0,01;-31;0,06;
LARCE;19/10/2020 00:00;;29,43;;;;;;;;-2,2;-0,02;
S723E;20/10/2020 00:00;94,41;81,28;99,92;99,93;0;0;0;0;0,17;77,7;-0,04;
EBBE;20/10/2020 00:00;74,35;64,13;97,51;97,03;0,08;0,06;0,11;0,08;0,54;89,6;-0,2;
EBBL;20/10/2020 00:00;;17,18;;;;;;;;37,2;-0,01;geen SSR data
EBBL;02/11/2020 00:00;;18,57;;;;;;;;30,1;-0,01;geen SSR data
GEEK;29/10/2020 00:00;96,39;79,66;99,24;98,99;0;0;0;0;0,06;15;0,01;
GEEK;30/10/2020 00:00;94,81;68,61;99,16;99,61;0;0;0;0;0,05;30;0,02;
GEEK;31/10/2020 00:00;93,33;52,73;98,28;97,66;0;0,01;0,01;0;0,09;22,6;0,03;
GEEK;01/11/2020 00:00;;;;;;;;;;;;geen data
GEEK;02/11/2020 00:00;96,52;81,02;99,49;98,95;0;0;0;0;0,27;43,5;0;
GEMB;29/10/2020 00:00;96,25;81,29;98,43;98,82;0,75;0,42;1,07;0,06;0,63;62,2;0,15;
GEMB;30/10/2020 00:00;95,68;89,88;98,24;98,66;0,69;0,42;1,02;0,11;0,18;94,9;0,16;
GEMB;31/10/2020 00:00;93,15;76,38;96,72;97,26;1,04;0,63;1,56;0,04;1,82;99,5;0,14;
GEMB;01/11/2020 00:00;98,12;92,57;99;99,25;0,54;0,26;0,73;0,11;0,06;85,4;0,18;
GEMB;02/11/2020 00:00;96,35;88,35;98,66;98,87;0,72;0,34;0,95;0,27;0,16;62,8;0,14;
EBFS;29/10/2020 00:00;89,62;88,49;99,9;99,69;0;0;0;0;0;14,5;0,03;
EBFS;30/10/2020 00:00;88,08;80,76;99,9;99,85;0;0;0;0;0;14,9;0,03;
EBFS;31/10/2020 00:00;87,69;75,9;99,89;99,29;0;0;0;0;0;12,8;0,04;
EBFS;01/11/2020 00:00;91,9;86,84;99,87;99,87;0;0;0;0;0;41,2;0,03;
EBFS;02/11/2020 00:00;87,87;81,7;99,88;99,86;0;0;0;0;0;50,4;0,03;
EBSH;29/10/2020 00:00;;71,76;;;;;;;;-6,7;0,08;geen SSR
EBSH;30/10/2020 00:00;91,24;83,3;99,74;99,67;0;0;0;0;0;-1,9;0,07;
EBSH;31/10/2020 00:00;91,24;74,47;99,76;98,92;0;0,02;0,02;0;0;-18,9;0,08;
EBSH;01/11/2020 00:00;97,11;88,57;99,7;99,7;0;0;0;0;0;12;0,06;
EBSH;02/11/2020 00:00;92,42;83,38;99,71;99,58;0;0;0;0;0,01;22,3;0,06;
